rgn_nam;rgn_key;Subbasin;HELCOM_ID;BHI_ID;Area_km2
Sweden;SWE;Kattegat;SEA-001;1;6739.5362
Denmark;DNK;Kattegat;SEA-001;2;15300.69996
Denmark;DNK;Great Belt;SEA-002;3;10369.11323
Germany;DEU;Great Belt;SEA-002;4;140.98877
Sweden;SWE;The Sound;SEA-003;5;612.66514
Denmark;DNK;The Sound;SEA-003;6;588.38712
Denmark;DNK;Kiel Bay;SEA-004;7;1208.87616
Germany;DEU;Kiel Bay;SEA-004;8;2079.47971
Denmark;DNK;Bay of Mecklenburg;SEA-005;9;1144.29301
Germany;DEU;Bay of Mecklenburg;SEA-005;10;3438.82204
Sweden;SWE;Arkona Basin;SEA-006;11;4226.44762
Denmark;DNK;Arkona Basin;SEA-006;12;6272.53375
Germany;DEU;Arkona Basin;SEA-006;13;7071.49776
Sweden;SWE;Bornholm Basin;SEA-007;14;15096.6004
Denmark;DNK;Bornholm Basin;SEA-007;15;7152.79836
Germany;DEU;Bornholm Basin;SEA-007;16;2566.81091
Poland;POL;Bornholm Basin;SEA-007;17;17334.97259
Poland;POL;Gdansk Basin;SEA-008;18;3682.83573
Russia;RUS;Gdansk Basin;SEA-008;19;2138.41462
Sweden;SWE;Eastern Gotland Basin;SEA-009;20;21941.00756
Poland;POL;Eastern Gotland Basin;SEA-009;21;11013.8982
Russia;RUS;Eastern Gotland Basin;SEA-009;22;9466.30104
Lithuania;LTU;Eastern Gotland Basin;SEA-009;23;6139.73941
Latvia;LVA;Eastern Gotland Basin;SEA-009;24;20977.58487
Estonia;EST;Eastern Gotland Basin;SEA-009;25;5414.05646
Sweden;SWE;Western Gotland Basin;SEA-010;26;27456.05692
Latvia;LVA;Gulf of Riga;SEA-011;27;7993.91788
Estonia;EST;Gulf of Riga;SEA-011;28;10774.55332
Sweden;SWE;Northern Baltic Proper;SEA-012;29;17728.40167
Finland;FIN;Northern Baltic Proper;SEA-012;30;9800.24404
Estonia;EST;Northern Baltic Proper;SEA-012;31;11841.39906
Finland;FIN;Gulf of Finland;SEA-013;32;9549.67733
Russia;RUS;Gulf of Finland;SEA-013;33;11571.59858
Estonia;EST;Gulf of Finland;SEA-013;34;8426.04463
Sweden;SWE;Aland Sea;SEA-014;35;2703.05659
Finland;FIN;Aland Sea;SEA-014;36;12405.68538
Sweden;SWE;Bothnian Sea;SEA-015;37;31735.90809
Finland;FIN;Bothnian Sea;SEA-015;38;28136.78846
Sweden;SWE;The Quark;SEA-016;39;3215.71496
Finland;FIN;The Quark;SEA-016;40;4932.99666
Sweden;SWE;Bothnian Bay;SEA-017;41;17335.82956
Finland;FIN;Bothnian Bay;SEA-017;42;14930.90472
