rgn_id,S_score
1,4.04
2,4.04
3,4.04
4,4.04
5,4.04
6,4.04
7,4.04
8,4.04
9,4.04
10,4.04
11,4.04
12,4.04
14,4.04
15,4.04
16,4.04
17,4.04
