rgn_id,year,resilience_score
1,1996,0.830289562543233
1,1998,0.83344629406929
1,2000,0.83474672238032
1,2002,0.831338826815287
1,2003,0.828095444043477
1,2004,0.82262772321701
1,2005,0.809210699796677
1,2006,0.822160150607427
1,2007,0.816802463928859
1,2008,0.821758751074473
1,2009,0.828841729958852
1,2010,0.822026364008585
1,2011,0.82239002386729
1,2012,0.823807700475057
1,2013,0.821657188733419
1,2014,0.829725766181946
1,2015,0.828222890694936
2,1996,0.830289562543233
2,1998,0.83344629406929
2,2000,0.83474672238032
2,2002,0.831338826815287
2,2003,0.828095444043477
2,2004,0.82262772321701
2,2005,0.809210699796677
2,2006,0.822160150607427
2,2007,0.816802463928859
2,2008,0.821758751074473
2,2009,0.828841729958852
2,2010,0.822026364008585
2,2011,0.82239002386729
2,2012,0.823807700475057
2,2013,0.821657188733419
2,2014,0.829725766181946
2,2015,0.828222890694936
3,1996,0.830289562543233
3,1998,0.83344629406929
3,2000,0.83474672238032
3,2002,0.831338826815287
3,2003,0.828095444043477
3,2004,0.82262772321701
3,2005,0.809210699796677
3,2006,0.822160150607427
3,2007,0.816802463928859
3,2008,0.821758751074473
3,2009,0.828841729958852
3,2010,0.822026364008585
3,2011,0.82239002386729
3,2012,0.823807700475057
3,2013,0.821657188733419
3,2014,0.829725766181946
3,2015,0.828222890694936
4,1996,0.830289562543233
4,1998,0.83344629406929
4,2000,0.83474672238032
4,2002,0.831338826815287
4,2003,0.828095444043477
4,2004,0.82262772321701
4,2005,0.809210699796677
4,2006,0.822160150607427
4,2007,0.816802463928859
4,2008,0.821758751074473
4,2009,0.828841729958852
4,2010,0.822026364008585
4,2011,0.82239002386729
4,2012,0.823807700475057
4,2013,0.821657188733419
4,2014,0.829725766181946
4,2015,0.828222890694936
5,1996,0.830289562543233
5,1998,0.83344629406929
5,2000,0.83474672238032
5,2002,0.831338826815287
5,2003,0.828095444043477
5,2004,0.82262772321701
5,2005,0.809210699796677
5,2006,0.822160150607427
5,2007,0.816802463928859
5,2008,0.821758751074473
5,2009,0.828841729958852
5,2010,0.822026364008585
5,2011,0.82239002386729
5,2012,0.823807700475057
5,2013,0.821657188733419
5,2014,0.829725766181946
5,2015,0.828222890694936
6,1996,0.830289562543233
6,1998,0.83344629406929
6,2000,0.83474672238032
6,2002,0.831338826815287
6,2003,0.828095444043477
6,2004,0.82262772321701
6,2005,0.809210699796677
6,2006,0.822160150607427
6,2007,0.816802463928859
6,2008,0.821758751074473
6,2009,0.828841729958852
6,2010,0.822026364008585
6,2011,0.82239002386729
6,2012,0.823807700475057
6,2013,0.821657188733419
6,2014,0.829725766181946
6,2015,0.828222890694936
7,1996,0.830289562543233
7,1998,0.83344629406929
7,2000,0.83474672238032
7,2002,0.831338826815287
7,2003,0.828095444043477
7,2004,0.82262772321701
7,2005,0.809210699796677
7,2006,0.822160150607427
7,2007,0.816802463928859
7,2008,0.821758751074473
7,2009,0.828841729958852
7,2010,0.822026364008585
7,2011,0.82239002386729
7,2012,0.823807700475057
7,2013,0.821657188733419
7,2014,0.829725766181946
7,2015,0.828222890694936
8,1996,0.830289562543233
8,1998,0.83344629406929
8,2000,0.83474672238032
8,2002,0.831338826815287
8,2003,0.828095444043477
8,2004,0.82262772321701
8,2005,0.809210699796677
8,2006,0.822160150607427
8,2007,0.816802463928859
8,2008,0.821758751074473
8,2009,0.828841729958852
8,2010,0.822026364008585
8,2011,0.82239002386729
8,2012,0.823807700475057
8,2013,0.821657188733419
8,2014,0.829725766181946
8,2015,0.828222890694936
