rgn_id,year,Ep
1,1995,0.0234135
1,1996,0.0240851
1,1997,0.0239008
1,1998,0.0247691
1,1999,0.025323
1,2000,0.0295608
1,2001,0.0308026
1,2002,0.0318345
1,2003,0.0305745
1,2004,0.0307137
1,2005,0.0302398
1,2006,0.0299373
1,2007,0.0296329
1,2008,0.0295792
1,2009,0.028688
1,2010,0.0282086
1,2011,0.0284117
1,2012,0.0285962
1,2013,0.0286822
1,2014,0.0291514
1,2015,0.029505
1,2016,0.0300562
1,2017,0.0300082
1,2018,0.0299376
1,2019,0.0301985
1,2020,0.0306247
1,2021,0.0309266
1,2022,0.0312666
1,2023,0.031779
1,2024,0.0317819
1,2025,0.0317806
1,2026,0.0315589
1,2027,0.0312807
2,1995,0.0234135
2,1996,0.0240851
2,1997,0.0239008
2,1998,0.0247691
2,1999,0.025323
2,2000,0.0295608
2,2001,0.0308026
2,2002,0.0318345
2,2003,0.0305745
2,2004,0.0307137
2,2005,0.0302398
2,2006,0.0299373
2,2007,0.0296329
2,2008,0.0295792
2,2009,0.028688
2,2010,0.0282086
2,2011,0.0284117
2,2012,0.0285962
2,2013,0.0286822
2,2014,0.0291514
2,2015,0.029505
2,2016,0.0300562
2,2017,0.0300082
2,2018,0.0299376
2,2019,0.0301985
2,2020,0.0306247
2,2021,0.0309266
2,2022,0.0312666
2,2023,0.031779
2,2024,0.0317819
2,2025,0.0317806
2,2026,0.0315589
2,2027,0.0312807
3,1995,0.0234135
3,1996,0.0240851
3,1997,0.0239008
3,1998,0.0247691
3,1999,0.025323
3,2000,0.0295608
3,2001,0.0308026
3,2002,0.0318345
3,2003,0.0305745
3,2004,0.0307137
3,2005,0.0302398
3,2006,0.0299373
3,2007,0.0296329
3,2008,0.0295792
3,2009,0.028688
3,2010,0.0282086
3,2011,0.0284117
3,2012,0.0285962
3,2013,0.0286822
3,2014,0.0291514
3,2015,0.029505
3,2016,0.0300562
3,2017,0.0300082
3,2018,0.0299376
3,2019,0.0301985
3,2020,0.0306247
3,2021,0.0309266
3,2022,0.0312666
3,2023,0.031779
3,2024,0.0317819
3,2025,0.0317806
3,2026,0.0315589
3,2027,0.0312807
4,1995,0.0234135
4,1996,0.0240851
4,1997,0.0239008
4,1998,0.0247691
4,1999,0.025323
4,2000,0.0295608
4,2001,0.0308026
4,2002,0.0318345
4,2003,0.0305745
4,2004,0.0307137
4,2005,0.0302398
4,2006,0.0299373
4,2007,0.0296329
4,2008,0.0295792
4,2009,0.028688
4,2010,0.0282086
4,2011,0.0284117
4,2012,0.0285962
4,2013,0.0286822
4,2014,0.0291514
